Chain,CE_2026-03-27,CE_2026-03-25,CE_2026-03-23,strikePrice,PE_2026-03-23,PE_2026-03-25,PE_2026-03-27
Ask,20.95,19.5,18.55,285,1.25,1.85,2.96
Bid,22.65,21.35,20.6,280,0.39,0.96,1.89
Ask,25.25,24,23.25,280,0.79,1.8,2.23
Bid,,,,277.5,0.27,,
Ask,,,,277.5,0.81,,
Bid,,,25.4,275,0.25,0.74,1.01
Ask,,,28.3,275,0.73,1.23,2.16
Bid,,,,272.5,0.12,,
Ask,,,,272.5,0.57,,
Ask,,33.6,33.05,270,0.55,1.05,1.87
Bid,,30.8,30.2,270,0.2,0.3,0.96
Bid,,36.4,35.1,265,0.02,0.23,0.51
Ask,,38.35,37.85,265,0.35,0.88,1.25
Ask,,,,262.5,0.53,,
Bid,,,,262.5,0.01,,
Bid,41.1,40.5,40,260,0,0.16,0.64
Ask,43.8,43.15,42.95,260,0.63,0.67,1.16
Bid,45.95,46.15,45,255,0,0.01,0.24
Ask,48.85,48.25,47.85,255,0.76,0.67,1.01
Bid,50.8,50.3,49.95,250,0,0.01,0.02
Ask,53.85,53.9,52.85,250,0.35,0.4,0.85
Bid,55.65,,,245,0,0,0.02
Ask,59.15,,,245,0.8,0.75,0.94
Bid,,,59.95,240,0,0,0.01
Ask,,,62.8,240,2.15,0.38,0.77
Ask,,68,68.1,235,2.14,0.96,0.57
Bid,,65.15,64.9,235,0,,0.0
Bid,,,,230,0,0,0.0
Ask,,,,230,1.52,1.35,2.33
Ask,78.5,,,225,,,2.28
Bid,75.35,,,225,,,0.0
Bid,,,,220,0,,
Ask,,,,220,2.13,,1.56
Bid,,,,215,0,,0.0
Ask,,,,215,2.13,,2.22
Bid,90.25,,,210,,,
Ask,93.8,,,210,,,
Bid,,,,205,0,,
Ask,,,,205,2.13,,
Ask,,,,200,2.13,2.13,2.17
Bid,,,,200,0,,0.0
Bid,,,,195,0,0,0.0
Ask,,,,195,2.13,0.3,2.16
Bid,,,,190,,0,
Ask,,,,190,0.1,0.1,
Chain,CE_2026-04-10,CE_2026-04-02,CE_2026-03-27,strikePrice,PE_2026-03-27,PE_2026-04-02,PE_2026-04-10
Bid,,,0,285,,,
Ask,,,2.13,285,,,
Ask,,2.13,2.13,280,,,
Bid,,0,0,280,,,
Ask,0.36,2.13,0.02,275,,,
Bid,0,0,0,275,,,
Ask,2.19,2.14,0.01,270,35.6,,
Bid,0,0,0,270,33,,
Bid,0,0,0,265,,28.1,28.3
Ask,0.95,1.08,0.5,265,,31.25,31.2
Bid,0,0,0,260,23.1,,23.35
Ask,0.65,1.12,0.29,260,25.55,,26.25
Ask,,,1.07,257.5,,,
Bid,,,0,257.5,,,
Ask,1.04,1.6,0.17,255,21.25,21.3,21.5
Bid,0.39,0,0,255,17.9,18.75,18.65
Bid,,,0,252.5,,,
Ask,,,0.27,252.5,,,
Bid,0.95,0.39,0,250,13.35,13.4,14.15
Ask,1.48,0.85,0.2,250,16.15,16.45,16.95
Ask,,,0.57,247.5,12.95,,
Bid,,,0,247.5,11.25,,
Ask,2.74,1.56,0.78,245,10.95,11.95,12.9
Bid,2.01,0.76,0.35,245,8.8,9.95,10.3
Ask,,,1.21,242.5,9.35,,
Bid,,,0.86,242.5,6.8,,
Ask,4.6,3.25,1.93,240,6.9,8.3,8.5
Bid,3.75,2.28,1.56,240,5.3,6.75,7.1
Ask,,,3,237.5,4.75,,
Bid,,,2.53,237.5,4.3,,
Bid,6.5,5.25,3.8,235,2.95,4.35,5.25
Ask,7,5.7,4.3,235,3.6,4.85,5.85
Bid,,,5,232.5,2.2,,
Ask,,,6.05,232.5,2.67,,
Bid,9.2,7.3,5.6,230,1.51,2.53,3.35
Ask,10.6,9.45,8.3,230,1.9,2.93,4.0
Bid,,,,227.5,1.03,,
Ask,,,,227.5,1.25,,
Bid,,11.3,9.95,225,0.61,1.43,2.25
Ask,,13.45,12.55,225,1,1.7,2.54
Bid,,,,222.5,0.45,,
Ask,,,,222.5,0.75,,
Ask,18.6,17.95,17.3,220,0.47,1.29,1.61
Bid,16.55,15.3,14.35,220,0.15,0.27,1.21
Ask,,,19.65,217.5,0.45,,
Bid,,,16.75,217.5,0.19,,
Ask,,22.55,22.1,215,0.51,2.02,1.14
Bid,,20.05,19.2,215,0.01,0,0.67
Bid,,24.4,24.1,210,0.1,0,0.01
Ask,,27.3,26.95,210,2.21,1.19,0.78
Ask,,,,205,2.17,,
Bid,,,,205,0,,
Bid,,,,200,0,,
Ask,,,,200,2.14,,
Bid,,,,195,0,,
Ask,,,,195,2.14,,
Bid,,44.1,,190,0,0,
Ask,,47.05,,190,2.13,2.17,
Ask,,,,180,2.13,2.14,
Bid,,,,180,0,0,
Bid,,,,170,0,,
Ask,,,,170,2.13,2.13,
Ask,,,,145,2.13,,
Bid,,,,145,0,,
Chain,CE_2026-04-10,CE_2026-04-02,CE_2026-03-27,strikePrice,PE_2026-03-27,PE_2026-04-02,PE_2026-04-10
Ask,,,4.3,2020,,,
Bid,,,0,2020,,,
Ask,,4.3,4.3,1980,,,
Bid,,0,0,1980,,,
Bid,,0,,1960,,,
Ask,,4.3,,1960,,,
Ask,,4.3,,1940,,,
Bid,,0,,1940,,,
Bid,,0,,1920,,,
Ask,,4.3,,1920,,,
Ask,,1.5,,1900,,590.8,
Bid,,0,,1900,,574.1,
Ask,,4.3,4.3,1880,,,
Bid,,0,0,1880,,,
Bid,,0,0,1860,,,
Ask,,4.3,1.1,1860,,,
Bid,0,0,0,1820,,,
Ask,4.4,4.3,4.3,1820,,,
Bid,0.15,0,0,1800,,,
Ask,3.6,4.3,4.3,1800,,,
Bid,,0,0,1780,,,
Ask,,3.1,4.3,1780,,,
Bid,,0,0,1760,,,
Ask,,4.3,4.3,1760,,,
Ask,4.7,4.3,4.3,1740,,,
Bid,0,0,0,1740,,,
Ask,,4.3,4.3,1720,,,
Bid,,0,0,1720,,,
Bid,,0,0,1700,375.4,,
Ask,,0.25,4.3,1700,390.8,,
Bid,0.05,0,0,1680,,,
Ask,5,4.3,2.7,1680,,,
Bid,0.05,0,0,1660,,,338.2
Ask,5.3,4.4,4.3,1660,,,350.6
Bid,,,0,1650,,,
Ask,,,0.05,1650,,,
Bid,0,0,0,1640,,315,
Ask,5.5,2.5,0.9,1640,,330.5,
Ask,5.8,4.5,1.1,1620,,310.5,
Bid,0,0,0,1620,,295.7,
Ask,6.2,4.7,4,1600,290.8,,291.3
Bid,1.4,0.1,0.1,1600,274.9,,279.5
Ask,6.4,4.8,,1595,,,
Bid,0.05,0,,1595,,,
Bid,0,,,1590,,264.9,265.4
Ask,6.5,,,1590,,280.6,281.6
Bid,0,0.3,,1585,,263.3,
Ask,6.7,4.9,,1585,,275.9,
Ask,,5,4.5,1580,,270.9,
Bid,,0.25,0,1580,,260.4,
Bid,,0.05,0.1,1575,,252.4,
Ask,,5.1,1.85,1575,,265.7,
Ask,7.2,5.1,1.95,1570,,,
Bid,0,0.15,0,1570,,,
Ask,,,4.6,1565,,256.1,
Bid,,,0,1565,,241.2,
Ask,7.4,5.3,0.9,1560,,251.1,252.5
Bid,0.8,0.05,0.05,1560,,237.9,240.9
Ask,7.8,4.9,0.95,1555,,246.2,
Bid,2.35,0,0,1555,,233.8,
Ask,5,2.9,0.9,1550,,,
Bid,1.25,0,0,1550,,,
Bid,,,0.15,1545,,,
Ask,,,3.5,1545,,,
Ask,,5.8,1,1540,,231.3,
Bid,,0.05,0.1,1540,,219.8,
Ask,,4,3.8,1535,225.7,226.8,
Bid,,0,0.05,1535,212.4,212,
Bid,4.6,0,0.05,1530,205.7,208.2,
Ask,8.9,5.9,0.9,1530,221,221.6,
Bid,4,0.05,0.1,1525,,,
Ask,9.3,6.2,2.15,1525,,,
Ask,7.2,3.1,2.5,1520,,212.8,
Bid,5.3,1.2,0.05,1520,,197.8,
Ask,,6.5,1.2,1515,,,
Bid,,0.1,0.2,1515,,,
Ask,10.7,6.9,3.4,1510,201,,
Bid,2.5,0.3,0.05,1510,189.1,,
Ask,11.1,6.8,2.7,1505,,,
Bid,5.8,0.4,0.3,1505,,,
Bid,7.2,2.65,0.5,1500,179.4,181.9,
Ask,9.5,5.9,2.25,1500,191,193,
Bid,,0.85,0.8,1495,,175.9,
Ask,,5.1,1.7,1495,,188,
Ask,12.4,7.1,1.8,1490,181,,
Bid,7.5,2.7,0.85,1490,170.5,,
Ask,,7.3,2.85,1485,176.2,179,
Bid,,2.9,0.75,1485,162.4,166.4,
Ask,14.1,8,2.25,1480,171.7,174.2,
Bid,6.1,3,0.75,1480,157.9,161.5,
Ask,14.3,8.7,2.5,1475,167,,174.3
Bid,7.2,3.2,1.25,1475,156,,158.6
Ask,15.1,7.8,4,1470,162.2,165.5,170.0
Bid,8.4,4.5,1.1,1470,149,153.8,154.1
Bid,9.1,3.9,0.65,1465,145.4,147.6,
Ask,16.1,7.8,4.1,1465,157.3,160.9,
Ask,15.2,8.7,4,1460,152.6,156.4,161.5
Bid,9.7,4.2,1.4,1460,141.2,144.1,151.0
Ask,17.9,10.3,3.6,1455,147.9,152,157.3
Bid,11.6,4.4,1.8,1455,136.9,140.5,147.1
Bid,11.8,5.2,2.05,1450,130.9,135.8,140.1
Ask,17.2,10.7,3.3,1450,143,147.7,153.3
Bid,12.3,5.6,1.95,1445,123.6,131.3,
Ask,19.2,10.3,5.2,1445,138.5,143.4,
Ask,19.7,12.5,5.5,1440,134,139,145.3
Bid,13,5.6,2.4,1440,120.9,126.7,134.7
Bid,,6.7,2.45,1435,116.3,123.4,
Ask,,13.3,6.5,1435,129.4,134.9,
Bid,15.3,7.5,2.75,1430,112.8,119.5,
Ask,23.6,14.1,8.3,1430,124.9,130.7,
Bid,15.8,10.4,2.9,1425,109.2,115.2,
Ask,25,15.2,6.2,1425,120,126.6,
Bid,17.8,9.5,3.3,1420,104.3,111.6,
Ask,26.3,15.7,8.7,1420,115.8,122.5,
Bid,,10.1,2.95,1415,100.8,107.4,
Ask,,17.1,8.5,1415,109,118.6,
Bid,20.8,11.6,5.8,1410,95.9,103.6,112.7
Ask,26.9,17.7,9.9,1410,104,114.8,123.0
Ask,28.7,19.6,11.3,1405,100.2,108.2,119.0
Bid,22.3,12.7,6.4,1405,92.4,100.2,109.8
Ask,29.5,20.1,10.2,1400,96,104,116.3
Bid,23.8,14.1,7.3,1400,88.2,96.6,105.7
Ask,32.4,21.3,12.1,1395,92,101,110.0
Bid,25.2,16.5,5.6,1395,82.8,93.1,102.3
Ask,33.1,23,13,1390,88,97,106.0
Bid,27,17.1,7.9,1390,80.1,89.3,98.0
Bid,31,19.6,7.8,1385,76.3,84.2,95.4
Ask,36.2,25,13.1,1385,84,94.1,103.0
Ask,,,14.6,1382.5,,,
Bid,,,8.3,1382.5,,,
Ask,39.8,27,14.7,1380,80,90,100.0
Bid,32.8,20.2,8.8,1380,72.6,82.4,91.0
Bid,,,9.7,1377.5,70.6,,
Ask,,,15.6,1377.5,78,,
Ask,41,30.4,16.3,1375,77,87,97.0
Bid,33.7,21.8,10.1,1375,69.1,78.7,89.4
Bid,,,12,1372.5,,,
Ask,,,17,1372.5,,,
Bid,36.5,25.3,14.5,1370,65.1,74.9,85.1
Ask,44,31.5,19.9,1370,73,84,94.0
Bid,38.5,,13.4,1365,62.6,71,81.8
Ask,44.4,,21.8,1365,70,81,91.0
Ask,44.8,36.4,21.7,1360,66,77,88.0
Bid,40.5,29,15.5,1360,58.8,68.2,80.4
Bid,42.6,31,18.2,1355,55.9,66,74.8
Ask,47,36.9,25.3,1355,63,74,85.0
Bid,44.8,32.2,22.2,1350,52.9,64,72.2
Ask,51.5,40,25,1350,60,72.2,82.0
Bid,,35.2,20.6,1345,50,60,70.6
Ask,,42,28.1,1345,57,69,80.0
Bid,49.4,36.2,23,1340,46.5,57.6,67.0
Ask,55.3,44,29,1340,54,66,77.0
Bid,50.6,39.8,25.1,1335,41.8,54.9,65.0
Ask,58.4,47,32.6,1335,51,63,74.0
Ask,61,49,33.3,1330,48.9,61,72.0
Bid,54.3,42.2,27.1,1330,41.5,51.2,63.0
Bid,56.4,44.7,29,1325,39,50,61.0
Ask,64.8,51.5,36,1325,46,58,69.0
Ask,64.4,53.1,39.4,1320,44,56.1,67.0
Bid,59.5,47.3,34.6,1320,37,46.8,59.1
Ask,67.3,56.9,41.6,1315,41,54.1,65.0
Bid,61.5,48.1,35,1315,33.1,44,55.0
Ask,71.7,59.9,44.5,1310,39,52,62.9
Bid,63,47.5,37,1310,31.8,42.8,53.0
Bid,66,54,40.1,1305,29.6,41.5,51.0
Ask,74.6,62.1,48.9,1305,37,49,60.0
Bid,69,57,46,1300,27.5,38,48.3
Ask,75.8,67,52.8,1300,35,47,58.0
Ask,78.4,68.2,54.2,1295,31.8,45,56.0
Bid,72,60,46,1295,26.9,37.1,49.1
Bid,,59.4,50,1290,25.1,35.2,46.9
Ask,,70.4,59.6,1290,29.3,44,54.0
Ask,,73.6,60.6,1285,29.9,42,52.0
Bid,,66,53,1285,23.9,32.1,43.8
Bid,81,69,57,1280,21.9,31.3,41.2
Ask,89.6,76.8,64,1280,28.2,40,51.0
Bid,,73,60,1275,18.9,30,39.6
Ask,,80.2,69.7,1275,25.3,38,49.0
Ask,,84.1,71.5,1270,25.2,37,47.0
Bid,,76,64,1270,19.1,27,37.5
Bid,,,68,1265,17.8,26.7,38.3
Ask,,,76.1,1265,23.8,35,45.2
Ask,,90.6,78.9,1260,21.8,33.4,41.9
Bid,,83,72,1260,16.7,24.7,35.3
Bid,,87,,1255,15.9,23.4,35.0
Ask,,94.4,,1255,21.5,31.6,42.2
Bid,101,,78.9,1250,15,23.3,34.0
Ask,111.8,,87.1,1250,20.6,30.5,41.0
Bid,102,94,,1245,14,22.2,30.6
Ask,112.3,101.4,,1245,18.2,28.8,39.0
Ask,,106,96.2,1240,18.1,27.6,38.0
Bid,,98,87,1240,13.2,20.8,30.9
Ask,,,100.1,1235,17.5,26.3,36.2
Bid,,,90.8,1235,12.4,20,28.1
Ask,,114.6,103.7,1230,16,25.5,34.9
Bid,,103,96,1230,10.4,18.1,28.3
Bid,,107,100,1225,9.6,17,
Ask,,120,108.5,1225,14.7,24.1,
Ask,,121.6,114.2,1220,14.2,22.5,32.1
Bid,,111,101.1,1220,9.7,16.9,25.9
Bid,,115,,1215,7.9,16,
Ask,,124.7,,1215,13.8,22.6,
Bid,,,,1210,8.8,13,23.1
Ask,,,,1210,13,21.6,29.7
Ask,143.5,,126.1,1205,12.2,,
Bid,132,,114.2,1205,8.3,,
Bid,136,127,118.8,1200,7.7,12.4,20.8
Ask,146.5,138.2,129.6,1200,11.8,18.5,27.5
Bid,,,,1195,5.5,11.8,20.2
Ask,,,,1195,11.1,19,26.4
Bid,,135,127.8,1190,6.8,12.3,19.8
Ask,,147.5,141.5,1190,10.5,17.2,24.5
Ask,,,,1185,,16.3,24.9
Bid,,,,1185,,9.8,17.9
Bid,,,,1180,5.8,11.1,18.0
Ask,,,,1180,9.4,15.9,23.6
Ask,,,,1175,7.3,16.1,
Bid,,,,1175,5.4,8.6,
Ask,,166,157.4,1170,7.8,14.8,
Bid,,152.4,146.2,1170,5.3,8.4,
Ask,,,,1165,7.5,13.5,
Bid,,,,1165,4.7,9.1,
Ask,,173.5,167.5,1160,6.8,13.1,
Bid,,160.9,155.5,1160,3.2,8.9,
Bid,,,160.3,1155,4.4,,
Ask,,,171.6,1155,6.6,,
Ask,,,,1150,6.2,12.8,18.0
Bid,,,,1150,2.35,7.9,12.9
Ask,,,,1145,,11.9,
Bid,,,,1145,,7.4,
Bid,,,,1140,1.1,6.9,
Ask,,,,1140,5.8,11.6,
Ask,,,193.5,1135,,11.4,
Bid,,,179.2,1135,,6.9,
Bid,,,184,1130,1.05,4.5,10.4
Ask,,,197.4,1130,7.1,11,16.0
Bid,,,188.8,1125,3.5,,
Ask,,,202.7,1125,5.2,,
Ask,,,239.2,1120,,9.9,
Bid,,,225.5,1120,,3.8,
Ask,,,211.7,1115,4.9,,
Bid,,,198.7,1115,0.55,,
Ask,,,216.9,1110,6.7,10.7,12.4
Bid,,,203.1,1110,2.75,2.5,6.0
Ask,,,,1105,4.5,9.7,14.0
Bid,,,,1105,0.15,3.7,6.3
Bid,220.8,,,1100,0.15,2.3,8.0
Ask,235,,,1100,5.4,10,13.5
Ask,,,,1095,5.3,8.8,11.3
Bid,,,,1095,2.25,2.15,6.8
Bid,,,,1090,1.8,,7.3
Ask,,,,1090,5.6,,10.6
Ask,,,241.8,1085,2.55,9.4,
Bid,,,227.7,1085,1.85,1.3,
Ask,,251.5,,1080,5,9.2,10.0
Bid,,235.7,,1080,1.7,1.05,6.5
Bid,,,,1075,0,0.85,5.9
Ask,,,,1075,3.5,9,8.9
Bid,,,,1070,1.1,1.4,2.7
Ask,,,,1070,3.6,6.9,11.0
Ask,,262.7,,1065,4.4,7.7,
Bid,,250.4,,1065,0,0.65,
Ask,,,264.1,1060,4.7,6.3,10.4
Bid,,,252.1,1060,1.35,1.3,2.05
Bid,,,,1055,1.15,1.2,2.2
Ask,,,,1055,3.5,6.1,10.3
Ask,,,,1050,,8.1,8.4
Bid,,,,1050,,0.15,2.45
Ask,,,281.3,1045,5.7,7.8,7.2
Bid,,,266.8,1045,0,0,1.65
Bid,,,271.8,1040,0,2.2,2.25
Ask,,,281.7,1040,2.65,7.8,9.5
Bid,,,,1035,,0,1.1
Ask,,,,1035,,7.7,9.3
Ask,,,,1030,4.8,7.5,9.0
Bid,,,,1030,0,0,0.85
Ask,,,,1025,2.6,7.4,8.8
Bid,,,,1025,0,0,0.65
Ask,,,,1020,3.8,6.6,7.8
Bid,,,,1020,0,2.15,2.1
Bid,,,,1015,0,2.15,2.2
Ask,,,,1015,4.8,6.4,8.2
Ask,,,,1010,4.3,6.2,
Bid,,,,1010,0,2,
Bid,,,,1005,0,1.75,0.1
Ask,,,,1005,3.7,5.5,8.0
Bid,,,,1000,0.25,1.55,2.1
Ask,,,,1000,3.9,4.8,7.8
Ask,,,,995,2.1,,7.7
Bid,,,,995,0,,0.0
Bid,,,321.2,990,0,0,0.65
Ask,,,334.3,990,1.95,4.7,5.6
Ask,,,338.2,985,1.9,,7.4
Bid,,,326.4,985,0,,0.0
Ask,,,,980,1.9,,5.6
Bid,,,,980,0,,0.45
Ask,,,,975,1.85,2.4,7.1
Bid,,,,975,0,0,0.0
Ask,,,,970,1.75,4.5,7.0
Bid,,,,970,0,0,0.0
Ask,,,,965,,4,5.6
Bid,,,,965,,0,0.05
Ask,368,,,960,4.5,4.8,5.1
Bid,354,,,960,0,0,0.05
Bid,,,,955,0,0,0.0
Ask,,,,955,4.1,4.2,5.8
Bid,,,,950,0,0,0.0
Ask,,,,950,4.7,3.6,6.6
Bid,,,,945,0,1,0.0
Ask,,,,945,2.4,2.25,6.4
Bid,,,,940,0,0,0.0
Ask,,,,940,1.35,4.8,5.6
Bid,,,,935,0,0,0.0
Ask,,,,935,3.7,4.8,5.0
Bid,,,,930,0,0,0.0
Ask,,,,930,1.45,3.8,4.9
Ask,,,,920,2.9,3.2,4.8
Bid,,,,920,0,0,0.0
Ask,,,,910,1.3,4.8,4.8
Bid,,,,910,0,0,0.0
Ask,,,,900,,4.6,5.5
Bid,,,,900,,0,0.05
Ask,,,,890,0.3,4.7,4.8
Bid,,,,890,0.05,0,0.0
Ask,,,,880,1.05,4.9,4.9
Bid,,,,880,0,0,0.0
Ask,,,,870,1.45,4.9,5.0
Bid,,,,870,0,0,0.0
Ask,,467.7,,860,,4.9,
Bid,,451.9,,860,,0,
Ask,,477.5,,850,,4.9,4.9
Bid,,461.8,,850,,0,0.0
Bid,,471.4,,840,0,0,
Ask,,488.6,,840,4.3,4.8,
Bid,,481.4,,830,0,0,
Ask,,497.4,,830,4.3,4.7,
Bid,492.5,491.3,,820,0,0,
Ask,509.1,506.4,,820,4.3,4.3,4.9
Bid,,,,810,0,,0.0
Ask,,,,810,4.3,,2.5
Bid,,,,800,0,0,0.1
Ask,,,,800,4.3,1.35,4.8
Ask,,,545.6,780,,,4.7
Bid,,,530,780,,,
Bid,,,,770,0,0,0.0
Ask,,,,770,4.3,4.5,4.6
Ask,,,,760,,,4.6
Bid,,,,750,,0,
Ask,,,,750,,4.5,4.5
Ask,,,,740,,,4.5
Bid,,,,730,0,,
Ask,,,,730,4.3,,4.5
Bid,,,,710,0,,
Ask,,,,710,4.3,,
Chain,CE_2026-04-10,CE_2026-04-02,CE_2026-03-27,strikePrice,PE_2026-03-27,PE_2026-04-02,PE_2026-04-10
Bid,0,0,0,780,,355.45,
Ask,0.2,0.95,0.01,780,,359.1,
Ask,1.08,2.04,0.05,770,,,
Bid,0,0,0,770,,,
Ask,0.52,1.4,,760,,,
Bid,0,0,,760,,,
Ask,0.14,0.16,0.05,750,,329.1,
Bid,0,0.01,0.01,750,,325.45,
Bid,0,0.01,0,740,,,
Ask,0.33,0.13,0.05,740,,,
Bid,0,,0,730,,,
Ask,0.28,,0.05,730,,,
Ask,0.29,0.16,0.05,720,,299.1,
Bid,0,0.01,0,720,,295.45,
Ask,0.15,0.11,0.05,710,,,
Bid,0,0.02,0,710,,,
Bid,0.04,0.02,0,700,272.4,275.45,
Ask,0.51,0.1,0.05,700,275.95,279.1,
Bid,0.02,0,0.01,690,,,
Ask,0.34,0.29,0.05,690,,,
Bid,0.01,0,0.01,680,255.6,255.45,
Ask,0.38,0.25,0.05,680,259.05,259.1,
Bid,0.05,0,0.01,670,245.6,245.45,
Ask,0.38,0.21,0.03,670,249.1,249.1,
Bid,0.07,0,0,660,235.6,235.15,
Ask,0.37,0.33,0.05,660,239.1,239.1,
Bid,0.17,0.05,0.01,650,225.45,225.45,226.35
Ask,0.45,0.28,0.03,650,229.1,229.1,229.1
Ask,0.55,0.25,0.28,645,,,
Bid,0.07,0,0,645,,,
Ask,0.38,0.18,0.26,640,219.1,219.1,219.1
Bid,0.08,0,0.01,640,215.45,215.45,216.35
Bid,0.04,0,0,635,,,210.45
Ask,0.38,0.26,0.24,635,,,214.1
Ask,0.47,0.38,0.27,630,209.05,209.1,209.1
Bid,0.02,0,0.02,630,205.6,205.2,205.9
Bid,0.18,0,0.03,625,200.45,200.45,
Ask,0.55,0.25,0.27,625,204.1,204.1,
Bid,0.23,0.01,0,620,195.6,195.25,196.4
Ask,0.73,0.48,0.2,620,199.1,199.1,199.1
Bid,0.18,0.01,0.04,615,190.6,,
Ask,0.78,0.39,0.24,615,194.1,,
Ask,0.64,0.4,0.1,610,189.1,189.1,189.15
Bid,0.16,0.01,0.03,610,185.45,185.45,186.25
Ask,0.69,0.23,0.15,605,184.1,184.1,184.15
Bid,0.23,0.02,0.01,605,180.6,180.45,181.05
Ask,0.78,0.2,0.07,600,179.1,179.1,179.2
Bid,0.35,0.14,0.01,600,175.45,175.45,176.0
Ask,0.88,0.47,0.13,590,169.1,169.15,169.25
Bid,0.39,0.01,0,590,165.45,165.45,166.4
Ask,1.01,0.56,0.1,580,159.1,159.2,
Bid,0.57,0.09,0.08,580,155.45,155.5,
Bid,0.89,0.09,0.1,570,145.9,145.5,
Ask,1.11,0.52,0.12,570,149.1,149.2,
Bid,1.15,0.24,0.11,560,136.05,135.55,
Ask,1.34,0.5,0.15,560,139.1,139.25,
Bid,,,0.03,557.5,,,
Ask,,,0.18,557.5,,,
Bid,,,0.11,555,,,
Ask,,,0.19,555,,,
Ask,,,0.31,552.5,,,
Bid,,,0.01,552.5,,,
Ask,1.76,0.58,0.2,550,129.1,129.35,
Bid,1.55,0.54,0.16,550,126.1,125.7,
Bid,,,0.1,547.5,123.8,,
Ask,,,0.31,547.5,126.7,,
Ask,,,0.24,545,,,
Bid,,,0.17,545,,,
Bid,,,0.02,542.5,,,
Ask,,,0.25,542.5,,,
Ask,2.22,0.77,0.29,540,119.2,119.5,120.45
Bid,1.77,0.49,0.19,540,115.55,115.85,117.6
Bid,,,0.05,537.5,,,
Ask,,,0.44,537.5,,,
Ask,,,0.3,535,,,
Bid,,,0.2,535,,,
Bid,,,0.2,532.5,,,
Ask,,,0.55,532.5,,,
Ask,2.67,1.16,0.34,530,109.2,109.65,
Bid,2.09,0.67,0.23,530,106.2,106.65,
Ask,,,0.37,527.5,,,
Bid,,,0.11,527.5,,,
Bid,,,0.25,525,,,
Ask,,,0.52,525,,,
Bid,,,0.32,522.5,,,
Ask,,,0.4,522.5,,,
Bid,2.78,1.11,0.39,520,96.25,97,98.7
Ask,3.3,1.34,0.46,520,99.3,100,101.55
Ask,,,0.65,517.5,,,
Bid,,,0.13,517.5,,,
Ask,,,0.48,515,94.35,,
Bid,,,0.4,515,90.8,,
Ask,,,0.68,512.5,91.95,,
Bid,,,0.41,512.5,88.65,,
Bid,3.35,1.52,0.43,510,86.65,86.85,88.75
Ask,4.6,1.77,0.6,510,89.4,90.45,92.35
Bid,,,0.28,507.5,,,
Ask,,,0.9,507.5,,,
Bid,,,0.6,505,,,
Ask,,,0.66,505,,,
Ask,,,0.81,502.5,,,
Bid,,,0.34,502.5,,,
Ask,5.3,2.39,0.77,500,79.65,80.95,83.45
Bid,4.5,2.17,0.75,500,76.4,77.85,79.75
Bid,,,0.34,497.5,,,
Ask,,,0.88,497.5,,,
Bid,5.25,2.46,0.79,495,71.75,72.95,
Ask,5.9,2.88,0.97,495,74.8,76.45,
Ask,,,1.02,492.5,,,
Bid,,,0.84,492.5,,,
Ask,6.65,3.3,1.11,490,69.95,71.85,74.75
Bid,5.55,3,1.03,490,66.3,68.9,71.9
Ask,,,1.33,487.5,67.55,,
Bid,,,1.11,487.5,64.8,,
Ask,7.55,3.95,1.38,485,65.2,67.4,70.55
Bid,6.65,3.45,1.11,485,62.4,64.3,67.8
Ask,,,1.5,482.5,,,
Bid,,,1.25,482.5,,,
Bid,7.15,4,1.5,480,57.45,59.75,63.8
Ask,8.45,4.6,1.69,480,60.45,63,66.5
Bid,,,1.64,477.5,,,
Ask,,,1.83,477.5,,,
Ask,9.4,5.35,2.06,475,55.85,58.75,61.85
Bid,8.25,4.55,1.75,475,52.95,55.95,59.85
Bid,,,1.98,472.5,50.65,,
Ask,,,2.28,472.5,52.95,,
Ask,10.5,6.05,2.55,470,51.3,54.55,58.6
Bid,10,5.3,2.42,470,48.35,51.7,55.75
Ask,,,2.82,467.5,,,
Bid,,,2.51,467.5,,,
Ask,12.1,7.2,3.15,465,46.1,50.5,54.65
Bid,10.25,6.1,2.9,465,44.15,47.75,52.15
Ask,,,3.5,462.5,,,
Bid,,,3,462.5,,,
Ask,13.45,8.15,3.9,460,41.65,46.65,51.1
Bid,11.7,7.55,3.65,460,39.95,43.95,48.55
Ask,,,4.35,457.5,,,
Bid,,,3.85,457.5,,,
Ask,14.9,9.45,4.8,455,37.6,42.8,47.6
Bid,13,8.45,4.7,455,35.7,40.05,44.3
Bid,,,5.2,452.5,33.75,,
Ask,,,5.35,452.5,36.55,,
Bid,14.7,10.25,5.85,450,32.15,35.85,41.2
Ask,16,11,5.9,450,33.5,38.85,44.2
Ask,,,6.6,447.5,,,
Bid,,,6.25,447.5,,,
Ask,18.3,12.5,7.5,445,29.95,35.6,40.95
Bid,16.35,11.7,7.1,445,28.55,33.35,38.15
Ask,,,8.05,442.5,28.3,,
Bid,,,7.85,442.5,26.8,,
Bid,18.2,13.55,8.5,440,25.1,30.05,35.15
Ask,20.95,14.3,8.9,440,26.3,32,37.0
Ask,,,9.75,437.5,,,
Bid,,,9.25,437.5,,,
Ask,22,16.35,10.95,435,23.25,29.1,34.95
Bid,20.6,15.25,10.4,435,22.2,27.1,32.4
Ask,,,11.75,432.5,21.8,,
Bid,,,11,432.5,20.55,,
Ask,24.45,18.55,12.8,430,20.25,26.1,30.7
Bid,22.65,17.45,12.4,430,19.15,23.6,29.5
